strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.33MB,100,401690,0.0008399999999999998,0.575
Cheapest,1.03MB,100,1031064,0.0021669999999999997,0.2
Cheapest,1.24MB,100,1273923,0.00268,0.375
Fastest,0.33MB,100,64539,0.009888999999999993,0.625
Fastest,1.03MB,100,160825,0.024944000000000018,0.275
Fastest,1.24MB,100,210591,0.032787000000000024,0.25
ProportionalCriticalPathSlo,0.33MB,0.011403900000000007,64539,0.009888999999999993,1
ProportionalCriticalPathSlo,0.33MB,0.011593965000000008,64539,0.009888999999999993,1.075
ProportionalCriticalPathSlo,0.33MB,0.011784030000000008,64539,0.009888999999999993,1.1
ProportionalCriticalPathSlo,0.33MB,0.011974095000000008,64539,0.009888999999999993,1.05
ProportionalCriticalPathSlo,0.33MB,0.012164160000000007,64539,0.009888999999999993,0.775
ProportionalCriticalPathSlo,0.33MB,0.012354225000000009,64539,0.009888999999999993,1
ProportionalCriticalPathSlo,0.33MB,0.012544290000000008,64539,0.009888999999999993,1.075
ProportionalCriticalPathSlo,0.33MB,0.012734355000000008,64539,0.009888999999999993,0.725
ProportionalCriticalPathSlo,0.33MB,0.012924420000000008,64539,0.009888999999999993,0.875
ProportionalCriticalPathSlo,0.33MB,0.013114485000000009,64539,0.009888999999999993,1.175
ProportionalCriticalPathSlo,0.33MB,0.013304550000000009,64539,0.009888999999999993,0.85
ProportionalCriticalPathSlo,0.33MB,0.013494615000000008,64539,0.009888999999999993,1
ProportionalCriticalPathSlo,0.33MB,0.013684680000000008,64539,0.009888999999999993,1.325
ProportionalCriticalPathSlo,0.33MB,0.01387474500000001,64539,0.009888999999999993,0.925
ProportionalCriticalPathSlo,0.33MB,0.01406481000000001,64539,0.009888999999999993,0.95
ProportionalCriticalPathSlo,0.33MB,0.014254875000000009,64539,0.009888999999999993,1.1
ProportionalCriticalPathSlo,0.33MB,0.014444940000000009,64539,0.009888999999999993,0.925
ProportionalCriticalPathSlo,0.33MB,0.01463500500000001,64539,0.009888999999999993,1.275
ProportionalCriticalPathSlo,0.33MB,0.01482507000000001,64539,0.009888999999999993,0.875
ProportionalCriticalPathSlo,0.33MB,0.01501513500000001,64539,0.009888999999999993,1.175
ProportionalCriticalPathSlo,0.33MB,0.015205200000000009,64539,0.009888999999999993,1.2
ProportionalCriticalPathSlo,0.33MB,0.01539526500000001,64539,0.009888999999999993,1.15
ProportionalCriticalPathSlo,0.33MB,0.01558533000000001,64539,0.009888999999999993,1
ProportionalCriticalPathSlo,0.33MB,0.01577539500000001,64539,0.009888999999999993,1.25
ProportionalCriticalPathSlo,0.33MB,0.01596546000000001,64539,0.009888999999999993,1.525
ProportionalCriticalPathSlo,0.33MB,0.01615552500000001,64539,0.009888999999999993,1.325
ProportionalCriticalPathSlo,0.33MB,0.01634559000000001,64539,0.009888999999999993,2.175
ProportionalCriticalPathSlo,0.33MB,0.01653565500000001,64539,0.009888999999999993,1.3
ProportionalCriticalPathSlo,0.33MB,0.01672572000000001,64539,0.009888999999999993,1.35
ProportionalCriticalPathSlo,0.33MB,0.01691578500000001,64539,0.009888999999999993,1.2
ProportionalCriticalPathSlo,0.33MB,0.01710585000000001,64539,0.009888999999999993,1.325
ProportionalCriticalPathSlo,0.33MB,0.017295915000000012,64539,0.009888999999999993,1.2
ProportionalCriticalPathSlo,0.33MB,0.017485980000000012,64539,0.009888999999999993,2.525
ProportionalCriticalPathSlo,0.33MB,0.017676045000000012,64539,0.009888999999999993,1.55
ProportionalCriticalPathSlo,0.33MB,0.01786611000000001,64539,0.009888999999999993,1.125
ProportionalCriticalPathSlo,0.33MB,0.01805617500000001,64539,0.009888999999999993,1.35
ProportionalCriticalPathSlo,0.33MB,0.01824624000000001,64539,0.009888999999999993,1.25
ProportionalCriticalPathSlo,0.33MB,0.01843630500000001,64539,0.009888999999999993,1.125
ProportionalCriticalPathSlo,0.33MB,0.01862637000000001,64539,0.009888999999999993,1.4
ProportionalCriticalPathSlo,0.33MB,0.018816435000000013,64539,0.009888999999999993,1.2
ProportionalCriticalPathSlo,0.33MB,0.019006500000000013,64539,0.009888999999999993,1.2
ProportionalCriticalPathSlo,0.33MB,0.019196565000000013,64539,0.009888999999999993,1.05
ProportionalCriticalPathSlo,0.33MB,0.019386630000000012,64539,0.009888999999999993,1.7
ProportionalCriticalPathSlo,0.33MB,0.019576695000000012,64539,0.009888999999999993,0.65
ProportionalCriticalPathSlo,0.33MB,0.01976676000000001,64539,0.009888999999999993,0.975
ProportionalCriticalPathSlo,0.33MB,0.01995682500000001,64539,0.009888999999999993,1.225
ProportionalCriticalPathSlo,0.33MB,0.02014689000000001,64539,0.009888999999999993,1.05
ProportionalCriticalPathSlo,0.33MB,0.020336955000000014,64539,0.009888999999999993,1.075
ProportionalCriticalPathSlo,0.33MB,0.020527020000000014,64539,0.009888999999999993,1.025
ProportionalCriticalPathSlo,0.33MB,0.020717085000000014,64539,0.009888999999999993,1.375
ProportionalCriticalPathSlo,0.33MB,0.020907150000000013,64539,0.009888999999999993,1.4
ProportionalCriticalPathSlo,0.33MB,0.021097215000000013,64539,0.009888999999999993,1.275
ProportionalCriticalPathSlo,0.33MB,0.021287280000000013,64539,0.009888999999999993,0.95
ProportionalCriticalPathSlo,0.33MB,0.021477345000000012,64539,0.009888999999999993,1.225
ProportionalCriticalPathSlo,0.33MB,0.021667410000000015,64539,0.009888999999999993,1.025
ProportionalCriticalPathSlo,0.33MB,0.021857475000000015,64539,0.009888999999999993,1.1
ProportionalCriticalPathSlo,0.33MB,0.022047540000000015,64539,0.009888999999999993,1.3
ProportionalCriticalPathSlo,0.33MB,0.022237605000000014,64539,0.009888999999999993,1.025
ProportionalCriticalPathSlo,0.33MB,0.022427670000000014,64539,0.009888999999999993,1.05
ProportionalCriticalPathSlo,0.33MB,0.022617735000000014,64539,0.009888999999999993,0.825
ProportionalCriticalPathSlo,0.33MB,0.022807800000000013,64539,0.009888999999999993,1.1
ProportionalCriticalPathSlo,0.33MB,0.022997865000000013,64539,0.009888999999999993,0.775
ProportionalCriticalPathSlo,0.33MB,0.023187930000000016,64539,0.009888999999999993,1.15
ProportionalCriticalPathSlo,0.33MB,0.023377995000000016,64539,0.009888999999999993,1.375
ProportionalCriticalPathSlo,0.33MB,0.023568060000000016,64539,0.009888999999999993,0.925
ProportionalCriticalPathSlo,0.33MB,0.023758125000000015,64539,0.009888999999999993,1
ProportionalCriticalPathSlo,0.33MB,0.023948190000000015,64539,0.009888999999999993,0.925
ProportionalCriticalPathSlo,0.33MB,0.024138255000000015,64539,0.009888999999999993,0.825
ProportionalCriticalPathSlo,0.33MB,0.024328320000000014,64539,0.009888999999999993,0.9
ProportionalCriticalPathSlo,0.33MB,0.024518385000000014,64539,0.009888999999999993,0.875
ProportionalCriticalPathSlo,0.33MB,0.024708450000000017,64539,0.009888999999999993,1.225
ProportionalCriticalPathSlo,0.33MB,0.024898515000000017,64539,0.009888999999999993,0.75
ProportionalCriticalPathSlo,0.33MB,0.025088580000000017,64539,0.009888999999999993,0.925
ProportionalCriticalPathSlo,0.33MB,0.025278645000000016,64539,0.009888999999999993,0.625
ProportionalCriticalPathSlo,0.33MB,0.025468710000000016,64539,0.009888999999999993,0.825
ProportionalCriticalPathSlo,0.33MB,0.025658775000000016,64539,0.009888999999999993,1.1
ProportionalCriticalPathSlo,0.33MB,0.025848840000000015,64539,0.009888999999999993,1.275
ProportionalCriticalPathSlo,0.33MB,0.026038905000000015,64539,0.009888999999999993,0.925
ProportionalCriticalPathSlo,0.33MB,0.026228970000000018,64539,0.009888999999999993,0.9
ProportionalCriticalPathSlo,0.33MB,0.026419035000000018,64539,0.009888999999999993,0.925
ProportionalCriticalPathSlo,0.33MB,0.026609100000000017,64539,0.009888999999999993,0.825
ProportionalCriticalPathSlo,1.03MB,0.011403900000000007,770948,0.011329999999999984,1.65
ProportionalCriticalPathSlo,1.03MB,0.011593965000000008,769938,0.011471999999999986,1.775
