strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,40.3MB,100,21191,0.00013,0.25
Cheapest,227.85MB,100,45088,0.00037,0.25
Cheapest,500.73MB,100,82653,0.000514,0.5
Fastest,40.3MB,100,4988,0.001343,0.5
Fastest,227.85MB,100,8792,0.002608,0.25
Fastest,500.73MB,100,25895,0.008261000000000001,0.25
ProportionalCriticalPathSlo,40.3MB,35304,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,35846,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,36388,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,36930,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,37472,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,38014,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,38556,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,39098,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,39640,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,40182,21199,0.00013,1.5
ProportionalCriticalPathSlo,40.3MB,40724,21199,0.00013,2.5
ProportionalCriticalPathSlo,40.3MB,41266,21199,0.00013,1.5
ProportionalCriticalPathSlo,40.3MB,41808,21199,0.00013,3.25
ProportionalCriticalPathSlo,40.3MB,42350,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,42892,21199,0.00013,2.25
ProportionalCriticalPathSlo,40.3MB,43434,21199,0.00013,1.25
ProportionalCriticalPathSlo,40.3MB,43976,21199,0.00013,2.75
ProportionalCriticalPathSlo,40.3MB,44518,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,45060,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,45602,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,46144,21199,0.00013,1.5
ProportionalCriticalPathSlo,40.3MB,46686,21199,0.00013,1
ProportionalCriticalPathSlo,40.3MB,47228,21199,0.00013,1
ProportionalCriticalPathSlo,40.3MB,47770,21199,0.00013,4
ProportionalCriticalPathSlo,40.3MB,48312,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,48854,21199,0.00013,1.5
ProportionalCriticalPathSlo,40.3MB,49396,21199,0.00013,2.25
ProportionalCriticalPathSlo,40.3MB,49938,21199,0.00013,4.5
ProportionalCriticalPathSlo,40.3MB,50480,21199,0.00013,1.5
ProportionalCriticalPathSlo,40.3MB,51022,21199,0.00013,3.25
ProportionalCriticalPathSlo,40.3MB,51564,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,52106,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,52648,21199,0.00013,1.5
ProportionalCriticalPathSlo,40.3MB,53190,21199,0.00013,0.75
ProportionalCriticalPathSlo,40.3MB,53732,21199,0.00013,2.25
ProportionalCriticalPathSlo,40.3MB,54274,21199,0.00013,5
ProportionalCriticalPathSlo,40.3MB,54816,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,55358,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,55900,21199,0.00013,1
ProportionalCriticalPathSlo,40.3MB,56442,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,56984,21199,0.00013,3
ProportionalCriticalPathSlo,40.3MB,57526,21199,0.00013,1.5
ProportionalCriticalPathSlo,40.3MB,58068,21199,0.00013,1
ProportionalCriticalPathSlo,40.3MB,58610,21199,0.00013,2.25
ProportionalCriticalPathSlo,40.3MB,59152,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,59694,21199,0.00013,2.25
ProportionalCriticalPathSlo,40.3MB,60236,21199,0.00013,1.25
ProportionalCriticalPathSlo,40.3MB,60778,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,61320,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,61862,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,62404,21199,0.00013,2.25
ProportionalCriticalPathSlo,40.3MB,62946,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,63488,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,64030,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,64572,21199,0.00013,1.5
ProportionalCriticalPathSlo,40.3MB,65114,21199,0.00013,2.75
ProportionalCriticalPathSlo,40.3MB,65656,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,66198,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,66740,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,67282,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,67824,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,68366,21199,0.00013,3
ProportionalCriticalPathSlo,40.3MB,68908,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,69450,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,69992,21199,0.00013,2.25
ProportionalCriticalPathSlo,40.3MB,70534,21199,0.00013,1.75
ProportionalCriticalPathSlo,40.3MB,71076,21199,0.00013,1.5
ProportionalCriticalPathSlo,40.3MB,71618,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,72160,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,72702,21199,0.00013,2
ProportionalCriticalPathSlo,40.3MB,73244,21199,0.00013,2.5
ProportionalCriticalPathSlo,227.85MB,35304,22926,0.0013359999999999997,2.25
ProportionalCriticalPathSlo,227.85MB,35846,22926,0.0013359999999999997,2.25
ProportionalCriticalPathSlo,227.85MB,36388,22926,0.0013359999999999997,1.75
ProportionalCriticalPathSlo,227.85MB,36930,22926,0.0013359999999999997,2.25
ProportionalCriticalPathSlo,227.85MB,37472,22926,0.0013359999999999997,1.75
ProportionalCriticalPathSlo,227.85MB,38014,22926,0.0013359999999999997,3
ProportionalCriticalPathSlo,227.85MB,38556,22926,0.0013359999999999997,2.5
ProportionalCriticalPathSlo,227.85MB,39098,22926,0.0013359999999999997,1.75
ProportionalCriticalPathSlo,227.85MB,39640,22926,0.0013359999999999997,1.25
ProportionalCriticalPathSlo,227.85MB,40182,22926,0.0013359999999999997,2.25
ProportionalCriticalPathSlo,227.85MB,40724,22926,0.0013359999999999997,2.25
ProportionalCriticalPathSlo,227.85MB,41266,22926,0.0013359999999999997,2.5
