strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.49MB,100,346632,0.0016159999999999998,0.275
Cheapest,0.82MB,100,686456,0.002859999999999999,0.275
Cheapest,1.54MB,100,687393,0.002859999999999999,0.4
Fastest,0.49MB,100,59452,0.008568,0.225
Fastest,0.82MB,100,154988,0.024356,0.275
Fastest,1.54MB,100,202957,0.033599,0.25
ProportionalCriticalPathSlo,0.49MB,0.011849175,59452,0.008568,1.275
ProportionalCriticalPathSlo,0.49MB,0.01203147,59452,0.008568,1.2
ProportionalCriticalPathSlo,0.49MB,0.012213765,59452,0.008568,0.975
ProportionalCriticalPathSlo,0.49MB,0.01239606,59452,0.008568,1.125
ProportionalCriticalPathSlo,0.49MB,0.012578355,59452,0.008568,1.025
ProportionalCriticalPathSlo,0.49MB,0.01276065,59452,0.008568,1.9
ProportionalCriticalPathSlo,0.49MB,0.012942944999999999,59452,0.008568,1.175
ProportionalCriticalPathSlo,0.49MB,0.01312524,59452,0.008568,1.475
ProportionalCriticalPathSlo,0.49MB,0.013307535,59452,0.008568,1.475
ProportionalCriticalPathSlo,0.49MB,0.01348983,59452,0.008568,0.7
ProportionalCriticalPathSlo,0.49MB,0.013672125,59452,0.008568,1.125
ProportionalCriticalPathSlo,0.49MB,0.01385442,59452,0.008568,1.45
ProportionalCriticalPathSlo,0.49MB,0.014036715,59452,0.008568,1.325
ProportionalCriticalPathSlo,0.49MB,0.014219009999999999,59452,0.008568,1.475
ProportionalCriticalPathSlo,0.49MB,0.014401305,59452,0.008568,1.4
ProportionalCriticalPathSlo,0.49MB,0.0145836,59452,0.008568,0.825
ProportionalCriticalPathSlo,0.49MB,0.014765895,59452,0.008568,1.425
ProportionalCriticalPathSlo,0.49MB,0.01494819,59452,0.008568,1.175
ProportionalCriticalPathSlo,0.49MB,0.015130484999999999,59452,0.008568,0.975
ProportionalCriticalPathSlo,0.49MB,0.01531278,59452,0.008568,1.2
ProportionalCriticalPathSlo,0.49MB,0.015495075,59452,0.008568,1.325
ProportionalCriticalPathSlo,0.49MB,0.01567737,59452,0.008568,1.3
ProportionalCriticalPathSlo,0.49MB,0.015859665,59452,0.008568,0.875
ProportionalCriticalPathSlo,0.49MB,0.01604196,59452,0.008568,1.225
ProportionalCriticalPathSlo,0.49MB,0.016224255,59452,0.008568,1.25
ProportionalCriticalPathSlo,0.49MB,0.01640655,59452,0.008568,1
ProportionalCriticalPathSlo,0.49MB,0.016588844999999998,59452,0.008568,1.075
ProportionalCriticalPathSlo,0.49MB,0.01677114,59452,0.008568,0.975
ProportionalCriticalPathSlo,0.49MB,0.016953435,59452,0.008568,1.3
ProportionalCriticalPathSlo,0.49MB,0.01713573,59452,0.008568,1.725
ProportionalCriticalPathSlo,0.49MB,0.017318025,59452,0.008568,1.575
ProportionalCriticalPathSlo,0.49MB,0.01750032,59452,0.008568,0.775
ProportionalCriticalPathSlo,0.49MB,0.017682615,59452,0.008568,0.875
ProportionalCriticalPathSlo,0.49MB,0.01786491,59452,0.008568,1.65
ProportionalCriticalPathSlo,0.49MB,0.018047205,59452,0.008568,1.475
ProportionalCriticalPathSlo,0.49MB,0.0182295,59452,0.008568,1.075
ProportionalCriticalPathSlo,0.49MB,0.018411794999999998,59452,0.008568,1.25
ProportionalCriticalPathSlo,0.49MB,0.01859409,59452,0.008568,1.6
ProportionalCriticalPathSlo,0.49MB,0.018776385,59452,0.008568,0.95
ProportionalCriticalPathSlo,0.49MB,0.01895868,59452,0.008568,0.95
ProportionalCriticalPathSlo,0.49MB,0.019140975,59452,0.008568,0.875
ProportionalCriticalPathSlo,0.49MB,0.01932327,59452,0.008568,1.625
ProportionalCriticalPathSlo,0.49MB,0.019505565,59452,0.008568,1.375
ProportionalCriticalPathSlo,0.49MB,0.019687859999999998,59452,0.008568,1.175
ProportionalCriticalPathSlo,0.49MB,0.019870155,59452,0.008568,1
ProportionalCriticalPathSlo,0.49MB,0.02005245,59452,0.008568,1.025
ProportionalCriticalPathSlo,0.49MB,0.020234745,59452,0.008568,0.95
ProportionalCriticalPathSlo,0.49MB,0.02041704,59452,0.008568,0.875
ProportionalCriticalPathSlo,0.49MB,0.020599335,59452,0.008568,0.575
ProportionalCriticalPathSlo,0.49MB,0.02078163,59452,0.008568,0.675
ProportionalCriticalPathSlo,0.49MB,0.020963924999999998,59452,0.008568,1.125
ProportionalCriticalPathSlo,0.49MB,0.02114622,59452,0.008568,1
ProportionalCriticalPathSlo,0.49MB,0.021328515,59452,0.008568,0.575
ProportionalCriticalPathSlo,0.49MB,0.02151081,59452,0.008568,1.35
ProportionalCriticalPathSlo,0.49MB,0.021693105,59452,0.008568,0.975
ProportionalCriticalPathSlo,0.49MB,0.0218754,59452,0.008568,1.3
ProportionalCriticalPathSlo,0.49MB,0.022057695,59452,0.008568,0.95
ProportionalCriticalPathSlo,0.49MB,0.022239989999999998,59452,0.008568,1.05
ProportionalCriticalPathSlo,0.49MB,0.022422285,59452,0.008568,0.975
ProportionalCriticalPathSlo,0.49MB,0.02260458,59452,0.008568,0.65
ProportionalCriticalPathSlo,0.49MB,0.022786874999999998,59452,0.008568,0.775
ProportionalCriticalPathSlo,0.49MB,0.02296917,59452,0.008568,1.325
ProportionalCriticalPathSlo,0.49MB,0.023151465,59452,0.008568,1.1
ProportionalCriticalPathSlo,0.49MB,0.02333376,59452,0.008568,0.675
ProportionalCriticalPathSlo,0.49MB,0.023516054999999998,59452,0.008568,0.8
ProportionalCriticalPathSlo,0.49MB,0.02369835,59452,0.008568,0.675
ProportionalCriticalPathSlo,0.49MB,0.023880645,59452,0.008568,0.8
ProportionalCriticalPathSlo,0.49MB,0.024062939999999998,59452,0.008568,0.8
ProportionalCriticalPathSlo,0.49MB,0.024245235,59452,0.008568,0.9
ProportionalCriticalPathSlo,0.49MB,0.02442753,59452,0.008568,0.975
ProportionalCriticalPathSlo,0.49MB,0.024609825,59452,0.008568,1.2
ProportionalCriticalPathSlo,0.82MB,0.011849175,415428,0.011758999999999997,1.525
ProportionalCriticalPathSlo,0.82MB,0.01203147,414370,0.011862999999999999,1.95
ProportionalCriticalPathSlo,0.82MB,0.012213765,409014,0.012034999999999999,1.7
ProportionalCriticalPathSlo,0.82MB,0.01239606,406381,0.012328999999999998,1.95
ProportionalCriticalPathSlo,0.82MB,0.012578355,404235,0.012523999999999997,1.6
ProportionalCriticalPathSlo,0.82MB,0.01276065,397892,0.012710999999999998,1.625
ProportionalCriticalPathSlo,0.82MB,0.012942944999999999,388200,0.012846999999999999,5.925
ProportionalCriticalPathSlo,0.82MB,0.01312524,384717,0.013028999999999997,2.475
ProportionalCriticalPathSlo,0.82MB,0.013307535,380420,0.013179999999999997,1.525
ProportionalCriticalPathSlo,0.82MB,0.01348983,378030,0.013421999999999998,1.975
ProportionalCriticalPathSlo,0.82MB,0.013672125,376624,0.013603999999999998,1.775
ProportionalCriticalPathSlo,0.82MB,0.01385442,374514,0.013785999999999998,1.625
ProportionalCriticalPathSlo,0.82MB,0.014036715,371945,0.013915999999999998,1.95
ProportionalCriticalPathSlo,0.82MB,0.014219009999999999,370009,0.014058999999999997,1.625
ProportionalCriticalPathSlo,0.82MB,0.014401305,368254,0.014313999999999999,2.15
ProportionalCriticalPathSlo,0.82MB,0.0145836,361970,0.014547999999999998,2.2
ProportionalCriticalPathSlo,0.82MB,0.014765895,359060,0.014688999999999999,1.525
ProportionalCriticalPathSlo,0.82MB,0.01494819,357055,0.014844999999999997,1.7
ProportionalCriticalPathSlo,0.82MB,0.015130484999999999,355083,0.015000999999999997,1.95
ProportionalCriticalPathSlo,0.82MB,0.01531278,353433,0.015229999999999999,2.075
ProportionalCriticalPathSlo,0.82MB,0.015495075,351323,0.015411999999999997,1.85
ProportionalCriticalPathSlo,0.82MB,0.01567737,346469,0.015593999999999998,2.275
ProportionalCriticalPathSlo,0.82MB,0.015859665,344450,0.01576,1.675
ProportionalCriticalPathSlo,0.82MB,0.01604196,342038,0.016005,2
ProportionalCriticalPathSlo,0.82MB,0.016224255,340737,0.016161,1.875
ProportionalCriticalPathSlo,0.82MB,0.01640655,338649,0.016339999999999997,1.925
ProportionalCriticalPathSlo,0.82MB,0.016588844999999998,336666,0.016492999999999997,2.1
ProportionalCriticalPathSlo,0.82MB,0.01677114,334708,0.016638999999999998,1.525
ProportionalCriticalPathSlo,0.82MB,0.016953435,332750,0.016784999999999998,1.525
ProportionalCriticalPathSlo,0.82MB,0.01713573,323643,0.017085,5.9
ProportionalCriticalPathSlo,0.82MB,0.017318025,319082,0.017269999999999997,1.95
ProportionalCriticalPathSlo,0.82MB,0.01750032,314769,0.017485999999999998,2.1
ProportionalCriticalPathSlo,0.82MB,0.017682615,307543,0.017613999999999998,1.75
ProportionalCriticalPathSlo,0.82MB,0.01786491,298580,0.017861999999999996,2.15
ProportionalCriticalPathSlo,0.82MB,0.018047205,296843,0.017981999999999998,2.35
ProportionalCriticalPathSlo,0.82MB,0.0182295,296821,0.018119999999999997,1.65
ProportionalCriticalPathSlo,0.82MB,0.018411794999999998,287858,0.018368,2.1
ProportionalCriticalPathSlo,0.82MB,0.01859409,283405,0.018514,1.75
ProportionalCriticalPathSlo,0.82MB,0.018776385,274442,0.018761999999999997,2
